X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
51,2019-10-12,at Saint Benedict,L,3,43,18,118,0.212,42,4,3,5,54,1,4,0,3,0,50,2019,home,conference,0.75,14.3333333333333,1,0,14,0,18,1.66666666666667,1,1.33333333333333,12/10,2022-10-12
52,2019-10-19,Saint Mary's,W,4,54,18,141,0.255,46,12,2,4,72,1,4,0,3,0,69,2019,away,non-conference,0.75,13.5,0.75,0,11.5,0,18,1,0.5,3,19/10,2022-10-19
53,2019-10-25,Bethel (Minn.),L,3,29,15,113,0.124,27,4,7,5,42,1,8,2,5,1,38,2019,away,conference,0.625,9.66666666666667,1.66666666666667,0.666666666666667,9,0.037037037037037,14,1.66666666666667,2.33333333333333,1.33333333333333,25/10,2022-10-25
54,2019-10-26,Macalester,L,4,26,23,127,0.024,24,6,6,10,47,0,10,0,5,2,37,2019,away,conference,0.5,6.5,1.25,0,6,0.0833333333333333,11.75,2.5,1.5,1.5,26/10,2022-10-26
55,2019-10-30,Hamline,L,5,59,26,185,0.178,53,10,7,9,98,2,12,1,8,0,77,2019,away,conference,0.666666666666667,11.8,1.6,0.2,10.6,0,19.6,1.8,1.4,2,30/10,2022-10-30
56,2019-11-01,at Carleton,L,3,21,8,86,0.151,17,3,4,8,29,0,8,0,4,2,28,2019,home,conference,0.5,7,1.33333333333333,0,5.66666666666667,0.117647058823529,9.66666666666667,2.66666666666667,1.33333333333333,1,01/11,2022-11-01
57,2019-11-07,at Saint Benedict,L,4,42,14,152,0.184,40,8,1,3,67,2,14,0,9,1,59,2019,home,conference,0.642857142857143,10.5,2.25,0,10,0.025,16.75,0.75,0.25,2,07/11,2022-11-07
58,2019-11-09,St. Thomas (MN),W,4,56,20,148,0.243,55,8,2,2,66,2,12,1,8,1,72,2019,away,non-conference,0.666666666666667,14,2,0.25,13.75,0.0181818181818182,16.5,0.5,0.5,2,09/11,2022-11-09
59,2019-11-14,vs Northwestern (Minn.),W,4,57,21,171,0.211,52,4,4,12,90,0,12,4,6,2,67,2019,away,non-conference,0.5,14.25,1.5,1,13,0.0384615384615385,22.5,3,1,1,14/11,2022-11-14
60,2018-08-31,at Martin Luther,L,3,12,20,73,-0.11,11,1,6,7,25,0,0,1,0,5,13,2018,home,non-conference,NA,4,0,0.333333333333333,3.66666666666667,0.454545454545455,8.33333333333333,2.33333333333333,2,0.333333333333333,31/08,2022-08-31
61,2018-08-31,at UW-River Falls,L,4,43,26,133,0.128,38,4,10,9,59,0,10,1,5,5,52,2018,home,non-conference,0.5,10.75,1.25,0.25,9.5,0.131578947368421,14.75,2.25,2.5,1,31/08,2022-08-31
